generation, best_individual, average_fitness
1, 49856.66, 21485.341999999993
2, 56547.42, 31294.544050000004
3, 57310.93, 36790.9807
4, 57964.19, 44704.24289999999
5, 58332.5, 48452.0429
6, 58332.5, 51157.877199999995
7, 59053.04, 53718.8124
8, 59053.04, 55270.5096
9, 59091.66, 56465.580599999994
10, 59227.14, 57008.1037
11, 59227.14, 57371.2769
12, 59511.63, 57611.876899999974
13, 59511.63, 57867.60409999998
14, 60594.13, 58153.83470000001
15, 60594.13, 58398.50850000003
16, 60594.13, 58627.73970000003
17, 60594.13, 58794.8873
18, 60594.13, 58968.5999
19, 60666.31, 59154.31790000001
20, 60845.98, 59356.610199999974
21, 60845.98, 59491.31689999998
22, 60845.98, 59633.168999999994
23, 60886.83, 59746.8143
24, 61002.02, 59816.27049999998
25, 61002.02, 59917.79460000001
26, 61721.39, 60005.33940000001
27, 61721.39, 60110.270400000016
28, 61721.39, 60149.68020000002
29, 61721.39, 60248.562399999995
30, 61721.39, 60318.0261
31, 61732.53, 60388.31099999999
32, 61732.53, 60464.54959999997
33, 61732.53, 60523.759699999966
34, 61732.53, 60573.37129999997
35, 61819.54, 60626.24979999998
36, 61819.54, 60676.60769999999
37, 61819.54, 60716.578299999994
38, 61819.54, 60763.49729999999
39, 61819.54, 60811.81539999997
40, 61984.99, 60859.658199999976
41, 61984.99, 60884.678199999966
42, 62419.26, 60937.057499999966
43, 62419.26, 60964.50559999997
44, 62419.26, 61002.57899999998
45, 62419.26, 61045.57039999999
46, 62444.14, 61100.81689999998
47, 62444.14, 61122.37129999999
48, 62444.14, 61151.73639999999
49, 62444.14, 61200.45519999999
50, 62444.14, 61226.311799999996
51, 62444.14, 61261.650699999984
52, 62444.14, 61267.05099999998
53, 62444.14, 61285.72619999999
54, 62444.14, 61291.45259999999
55, 62444.14, 61306.18389999999
56, 62444.14, 61334.24719999999
57, 62444.14, 61364.95899999999
58, 62444.14, 61395.73289999997
59, 62687.21, 61438.624899999995
60, 62687.21, 61459.421599999994
61, 62687.21, 61494.79379999999
62, 62687.21, 61511.98409999998
63, 62687.21, 61517.07249999998
64, 62687.21, 61541.66139999999
65, 62687.21, 61559.19139999999
66, 62854.86, 61622.0538
67, 62854.86, 61647.35849999999
68, 62854.86, 61689.29219999999
69, 62854.86, 61733.692699999985
70, 62854.86, 61760.69720000001
71, 62854.86, 61775.79990000002
72, 62854.86, 61800.78520000001
73, 62854.86, 61806.95570000001
74, 62854.86, 61811.57880000001
75, 62854.86, 61821.77940000001
76, 62854.86, 61862.39670000001
77, 62854.86, 61869.44160000001
78, 63123.39, 61896.09970000001
79, 63123.39, 61944.66130000001
80, 63123.39, 61987.097600000016
81, 63123.39, 61992.95890000001
1, 56346.07, 20625.778850000002
2, 56346.07, 32762.367550000003
3, 56975.77, 39989.4757
4, 57181.72, 46851.23669999997
5, 57485.42, 49366.2186
6, 57627.86, 51374.62629999999
7, 59154.63, 53172.024300000005
8, 59154.63, 54654.73720000002
9, 59285.65, 55518.729699999996
10, 59285.65, 55965.095199999974
11, 59285.65, 56466.393199999984
12, 60213.61, 57084.3133
13, 60213.61, 57404.915
14, 60213.61, 57909.24989999998
15, 60724.3, 58308.94030000001
16, 60724.3, 58607.01050000003
17, 60724.3, 58939.70570000002
18, 60724.3, 59102.548700000014
19, 60740.6, 59291.384300000005
20, 60740.6, 59410.813099999985
21, 60757.77, 59567.18129999999
22, 60757.77, 59678.82709999998
23, 61263.11, 59808.245399999985
24, 61263.11, 59951.02419999998
25, 61428.86, 60122.66059999997
26, 61428.86, 60206.58949999998
27, 61428.86, 60255.322699999975
28, 61668.22, 60358.81599999997
29, 62461.65, 60416.91669999997
30, 62461.65, 60464.01699999997
31, 62461.65, 60552.48879999999
32, 62461.65, 60628.660200000006
33, 62461.65, 60690.984800000006
34, 62461.65, 60784.854200000016
35, 62559.07, 60887.81830000003
36, 62559.07, 61004.235200000025
37, 62559.07, 61082.73560000001
38, 62559.07, 61215.42220000001
39, 62564.49, 61309.11399999999
40, 62664.79, 61389.8816
41, 62664.79, 61559.2125
42, 62854.28, 61699.66920000001
43, 62854.28, 61830.77809999999
44, 63249.21, 61894.2649
45, 63249.21, 61993.132700000024
46, 63249.21, 62035.33600000003
47, 63249.21, 62094.00060000002
48, 63249.21, 62135.87500000002
49, 63480.74, 62222.74130000004
50, 63480.74, 62254.27280000004
51, 63480.74, 62292.706000000035
52, 63480.74, 62355.31580000001
53, 63480.74, 62376.93430000001
54, 63480.74, 62423.86630000001
55, 63480.74, 62433.87860000001
56, 63480.74, 62442.97300000002
57, 63480.74, 62476.2921
58, 63480.74, 62504.891899999995
