generation, best_individual, average_fitness
1, 113910.46, 79571.61329999998
2, 113910.46, 90899.51430000001
3, 113910.46, 95228.0081
4, 113910.46, 98773.79840000001
5, 114977.04, 102103.86470000006
6, 115272.47, 104895.81800000009
7, 118228.06, 107980.06640000003
8, 118365.21, 109900.65510000008
9, 118365.21, 111371.12580000005
10, 118737.81, 112861.56300000001
11, 121604.05, 114383.53340000006
12, 122716.07, 115219.18170000003
13, 122716.07, 116242.05040000005
14, 122716.07, 117006.61460000003
15, 122716.07, 117537.61579999999
16, 122716.07, 118663.67719999995
17, 123540.97, 119483.68069999997
18, 125173.67, 120096.53089999995
19, 125173.67, 120752.10959999997
20, 125173.67, 121160.38869999997
21, 125173.67, 121709.52219999995
22, 125207.1, 122081.81679999997
23, 126222.94, 122626.73889999998
24, 126222.94, 122938.35750000001
25, 126222.94, 123177.9899
26, 126222.94, 123430.61299999998
27, 126222.94, 123688.12509999998
28, 126222.94, 123996.36469999999
29, 126391.18, 124207.72819999998
30, 126391.18, 124337.4951
31, 126391.18, 124481.3659
32, 126391.18, 124669.9781
33, 126391.18, 124745.42869999999
34, 126605.85, 124933.72219999995
35, 126605.85, 125082.81549999994
36, 126605.85, 125181.71639999995
37, 126756.32, 125313.97629999997
38, 126756.32, 125460.45999999995
39, 126756.32, 125602.68449999997
40, 126761.46, 125757.37619999997
41, 126761.46, 125842.54889999997
42, 126815.1, 125942.96879999993
43, 126943.49, 126058.06180000004
44, 126985.45, 126156.76210000005
45, 126985.45, 126277.69190000003
46, 127022.84, 126342.24649999998
47, 127022.84, 126393.25779999996
48, 127640.34, 126471.62709999998
49, 127640.34, 126507.53599999998
50, 127640.34, 126589.04259999999
51, 127640.34, 126644.06060000003
52, 127640.34, 126690.7951
53, 127640.34, 126724.48220000001
54, 127640.34, 126769.49450000002
55, 127640.34, 126820.50099999997
56, 127640.34, 126858.40489999996
57, 127640.34, 126885.5291
58, 127640.34, 126918.61579999997
59, 127640.34, 126954.30549999997
60, 127640.34, 126969.07599999997
1, 114789.4, 65709.8917
2, 114815.07, 85226.582
3, 114815.07, 90655.51670000004
4, 116875.15, 96554.57890000002
5, 117466.69, 101002.474
6, 118679.89, 103838.36179999998
7, 118679.89, 107124.43249999997
8, 120551.73, 110947.70620000003
9, 121894.39, 113317.32329999999
10, 121894.39, 114911.90910000002
11, 121894.39, 116446.76680000007
12, 121894.39, 117460.51680000004
13, 121894.39, 118162.50540000002
14, 123082.34, 118718.70620000003
15, 123894.86, 119251.9461
16, 123894.86, 119815.08509999998
17, 123894.86, 120370.13489999999
18, 123894.86, 120779.94849999994
19, 123936.72, 121222.79849999992
20, 123936.72, 121624.68599999993
21, 125482.15, 121983.91279999992
22, 125746.53, 122272.60119999993
23, 125746.53, 122512.62829999992
24, 125746.53, 122755.11619999993
25, 125746.53, 123081.16229999992
26, 125746.53, 123306.69249999995
27, 125746.53, 123479.91389999997
28, 125746.53, 123656.86869999998
29, 125746.53, 123836.01999999997
30, 125746.53, 124022.2029
31, 125746.53, 124157.12240000001
32, 125746.53, 124332.74690000001
33, 126470.82, 124521.17890000004
34, 126470.82, 124751.79150000006
35, 126487.26, 124924.22460000005
36, 126487.26, 125083.36340000003
37, 126814.43, 125289.59829999998
38, 126949.54, 125439.86189999995
39, 126949.54, 125571.78169999995
40, 127172.09, 125711.6024999999
41, 127172.09, 125814.67159999991
42, 127172.09, 125930.27269999991
43, 127172.09, 125997.86399999994
44, 127364.51, 126115.36859999996
45, 127364.51, 126176.91889999998
46, 127364.51, 126275.18269999998
47, 127528.08, 126335.09719999999
48, 127528.08, 126410.24350000001
49, 127528.08, 126442.879
50, 127528.08, 126507.48139999999
51, 127626.75, 126569.5027
52, 127896.1, 126612.7635
53, 127896.1, 126670.84120000001
54, 127896.1, 126739.93480000002
55, 127896.1, 126765.75460000003
56, 127896.1, 126818.32299999999
57, 127896.1, 126863.69759999996
58, 127896.1, 126913.30849999998
59, 128103.64, 126955.12079999998
60, 128137.18, 126996.42629999999
61, 128137.18, 127025.97929999998
62, 128137.18, 127075.80410000002
63, 128137.18, 127106.83630000001
64, 128188.69, 127171.8605
65, 128188.69, 127225.36099999998
66, 128188.69, 127261.85909999996
67, 128188.69, 127291.39839999996
68, 128188.69, 127300.55839999997
69, 128188.69, 127314.95369999994
70, 128188.69, 127335.61929999996
71, 128188.69, 127351.61999999997
72, 128188.69, 127386.73649999998
1, 113205.29, 68286.5571
2, 113336.18, 88507.88900000001
3, 113336.18, 95799.65690000003
4, 113710.14, 100045.72079999998
5, 113710.14, 102706.75160000002
6, 118201.97, 105843.25650000005
7, 118201.97, 108387.2081
8, 118201.97, 110420.89600000001
