1, 113537.55, 65397.763500000045
2, 114316.73, 83253.04825000005
3, 114316.73, 89223.18915000005
4, 117947.27, 94848.64890000003
5, 118372.07, 99374.59195
6, 118372.07, 102941.3634
7, 120597.05, 106818.12779999999
8, 120597.05, 109995.0008
9, 121587.21, 113096.49865000001
10, 121587.21, 114871.55365000006
11, 123856.9, 116385.73899999999
12, 123856.9, 117452.08039999999
13, 123856.9, 118524.00919999993
14, 123856.9, 119563.84120000005
15, 123856.9, 120380.85735000003
16, 124833.17, 121006.26495000001
17, 124833.17, 121530.47174999991
18, 124833.17, 121850.19084999994
19, 124893.68, 122117.72385
20, 124893.68, 122409.18075000003
21, 124893.68, 122626.64010000005
22, 124893.68, 122843.12360000004
23, 124970.98, 123005.24800000005
24, 126577.94, 123255.77880000009
25, 126577.94, 123481.31585000003
26, 126577.94, 123723.70975000001
27, 126577.94, 123907.14030000004
28, 126843.87, 124092.36650000008
29, 126843.87, 124294.29735000007
30, 126843.87, 124448.73775000004
31, 126843.87, 124582.07635000003
32, 126843.87, 124687.43335000002
33, 126843.87, 124787.44459999999
34, 126945.81, 124921.37990000001
35, 128378.65, 125026.44995000005
36, 128378.65, 125164.42530000005
37, 128378.65, 125280.42575000005
38, 128378.65, 125413.11515000009
39, 128378.65, 125537.97265000008
40, 128378.65, 125666.55875000007
41, 128378.65, 125774.73010000006
42, 128378.65, 125889.66500000005
43, 128378.65, 125979.25670000007
44, 128378.65, 126033.72580000006
45, 128378.65, 126099.22215000007
46, 128378.65, 126218.29844999999
47, 128378.65, 126303.02075000001
48, 128378.65, 126393.10325000001
49, 128378.65, 126450.54470000003
50, 128378.65, 126512.36090000006
51, 128378.65, 126545.97040000006
52, 128378.65, 126618.49575000005
53, 128378.65, 126684.9606
54, 128378.65, 126758.84595
55, 128378.65, 126804.16524999995
56, 128378.65, 126846.69679999996
57, 128378.65, 126888.72059999999
58, 128378.65, 126958.2275
59, 128378.65, 127009.65045000002
60, 128378.65, 127050.92605000001
61, 128378.65, 127095.58790000001
62, 128440.88, 127147.48365000002
63, 128440.88, 127197.62449999999
64, 128440.88, 127212.16924999999
65, 128605.49, 127271.93404999998
66, 128605.49, 127302.43594999996
67, 128605.49, 127356.8952
68, 128605.49, 127399.8676
69, 128605.49, 127429.2189
