generation, best_individual, average_fitness
1, 57712.95, 26875.582850000006
2, 62603.6, 30217.83005
3, 64427.08, 32593.4516
4, 64427.08, 34256.7861
5, 64427.08, 35538.11605
6, 64427.08, 36094.14035
7, 64427.08, 37195.4167
8, 64427.08, 37868.42725
9, 64427.08, 38600.706249999996
10, 64427.08, 39309.714499999995
11, 64427.08, 39983.012200000005
12, 64427.08, 40631.8864
13, 64427.08, 41689.29980000001
14, 64427.08, 41997.59850000001
15, 64427.08, 42102.713800000005
16, 64427.08, 43087.45860000001
17, 64427.08, 43618.0594
18, 64427.08, 43904.33079999999
19, 64427.08, 44473.87629999999
20, 64427.08, 44655.434199999996
21, 64427.08, 45063.2033
22, 64427.08, 45451.6072
23, 64427.08, 45468.3077
24, 64427.08, 46078.9355
25, 64427.08, 46568.2173
26, 64427.08, 46973.087700000004
27, 64427.08, 47252.7624
28, 64427.08, 47654.06840000001
29, 64427.08, 47861.3582
30, 64427.08, 48185.2891
31, 64427.08, 48628.0316
32, 64427.08, 48852.1489
33, 64427.08, 49224.7208
34, 64427.08, 49598.745299999995
35, 64427.08, 49868.03319999999
36, 64427.08, 50134.50529999999
37, 64427.08, 50550.7435
38, 64427.08, 50866.312999999995
39, 64427.08, 51141.22250000001
40, 64427.08, 51333.59920000001
41, 64427.08, 51534.94840000001
42, 64427.08, 51656.575700000016
43, 64427.08, 51792.13570000001
44, 64427.08, 52163.27510000001
45, 64427.08, 52354.20460000002
46, 64427.08, 52506.23110000002
47, 64427.08, 52671.30680000003
48, 64427.08, 52774.578000000016
49, 64427.08, 52908.30040000002
50, 64427.08, 53414.3437
51, 64427.08, 53755.85779999999
52, 64427.08, 54057.33119999999
53, 64427.08, 54278.970700000005
54, 64427.08, 54435.68070000001
55, 64427.08, 54500.487600000015
56, 64427.08, 54633.18050000001
57, 64427.08, 54662.75390000002
58, 64427.08, 54967.21190000002
59, 64427.08, 55107.55020000001
60, 64427.08, 55254.260100000014
61, 64427.08, 55463.190900000016
62, 64427.08, 55749.60840000002
63, 64427.08, 55917.72250000002
64, 64427.08, 56046.68830000003
65, 64427.08, 56296.369200000016
66, 64427.08, 56395.14410000002
67, 64427.08, 56484.64870000002
68, 64427.08, 56626.514000000025
69, 64427.08, 56790.42530000004
70, 64427.08, 56923.69120000003
71, 64427.08, 56964.39020000003
72, 64427.08, 57051.02920000002
1, 59546.59, 26555.80494999999
2, 59546.59, 28858.226949999997
3, 59546.59, 30453.86219999999
4, 59546.59, 31936.65584999998
5, 59546.59, 33440.37029999998
6, 59546.59, 34928.948
7, 60470.21, 37206.57709999999
8, 60470.21, 38093.51089999999
9, 63591.36, 40110.00924999998
10, 63591.36, 41611.13899999999
11, 63591.36, 42217.78119999998
12, 63591.36, 43212.26959999998
13, 63591.36, 44041.88224999999
14, 63591.36, 44689.61494999998
15, 63591.36, 44872.076099999984
16, 63591.36, 45255.88169999998
17, 63591.36, 45836.51879999999
18, 63591.36, 46070.65189999998
19, 63591.36, 46111.17089999999
20, 63591.36, 46760.66769999998
21, 63591.36, 47047.40959999999
22, 63591.36, 47211.412799999984
23, 63591.36, 47490.38759999999
24, 63591.36, 47631.37779999999
25, 63591.36, 48045.90209999999
26, 63591.36, 48288.03849999999
27, 63591.36, 48525.37339999999
28, 63591.36, 49028.60789999999
29, 63591.36, 49291.30339999999
30, 63591.36, 49355.76369999998
31, 63591.36, 49465.16029999998
32, 63591.36, 49776.88989999998
33, 63591.36, 49834.83459999999
34, 63591.36, 50261.924299999984
35, 63591.36, 50493.72769999999
36, 63591.36, 50754.652399999984
37, 63591.36, 51220.54199999999
38, 63591.36, 51389.594499999985
39, 63591.36, 51545.993699999985
40, 63591.36, 51609.502299999986
41, 63591.36, 51717.076099999984
42, 63591.36, 51942.50249999998
43, 63591.36, 52083.14539999998
44, 63591.36, 52232.07129999998
45, 63591.36, 52525.34249999999
46, 63591.36, 52593.16599999999
47, 63591.36, 52675.94249999999
48, 63591.36, 52756.03759999999
49, 63591.36, 52867.40409999999
50, 63591.36, 52912.105599999995
51, 63591.36, 53037.14489999999
52, 63591.36, 53218.89230000001
53, 63591.36, 53246.522300000004
54, 63591.36, 53305.91760000001
55, 63591.36, 53435.3369
56, 63591.36, 53640.82750000001
57, 63591.36, 53678.88290000001
58, 63591.36, 54001.416900000004
59, 63591.36, 54058.7135
60, 63591.36, 54181.3392
61, 63591.36, 54392.5326
62, 63591.36, 54578.93099999999
63, 63591.36, 54671.64609999999
64, 63591.36, 54921.4996
65, 63591.36, 55046.93899999999
66, 63591.36, 55272.6717
67, 63591.36, 55333.14609999999
68, 63591.36, 55422.627799999995
69, 63591.36, 55735.377599999985
70, 63591.36, 55833.397499999985
71, 63591.36, 55932.83719999998
72, 63591.36, 55991.16949999998
73, 63591.36, 56097.29889999998
74, 63591.36, 56210.74409999998
75, 63591.36, 56341.576999999976
76, 63875.99, 56531.83209999998
77, 63875.99, 56593.33599999999
78, 63875.99, 56689.84759999998
79, 63875.99, 56742.77549999998
80, 63875.99, 56826.80379999998
81, 63875.99, 56905.23209999998
82, 63875.99, 56987.34179999999
83, 63875.99, 57133.49079999999
84, 63875.99, 57169.798299999995
85, 63875.99, 57309.556899999974
86, 63998.84, 57511.20639999998
87, 63998.84, 57563.58459999997
88, 63998.84, 57575.39969999998
89, 63998.84, 57584.50169999997
90, 63998.84, 57624.523699999976
91, 63998.84, 57683.208399999974
92, 63998.84, 57762.30519999997
93, 63998.84, 57803.606099999975
94, 63998.84, 57906.920799999985
95, 63998.84, 57998.07109999999
96, 63998.84, 58063.75959999998
97, 63998.84, 58127.18729999998
98, 63998.84, 58166.5427
99, 63998.84, 58226.088599999995
100, 63998.84, 58291.7052
101, 63998.84, 58347.2622
102, 63998.84, 58373.0901
103, 63998.84, 58384.45939999999
104, 63998.84, 58489.609599999996
105, 63998.84, 58537.02
106, 63998.84, 58566.50130000001
107, 63998.84, 58623.959299999995
108, 63998.84, 58675.777899999994
109, 63998.84, 58746.24389999999
110, 63998.84, 58782.9961
111, 63998.84, 58814.1803
112, 63998.84, 58891.27940000001
113, 63998.84, 58920.448500000006
114, 63998.84, 58960.08210000001
115, 63998.84, 58972.202800000014
116, 63998.84, 59066.438200000004
117, 63998.84, 59207.4124
118, 63998.84, 59207.4124
119, 63998.84, 59271.4462
120, 63998.84, 59283.15910000001
121, 63998.84, 59317.97720000001
122, 63998.84, 59361.12950000001
123, 63998.84, 59446.12080000002
124, 63998.84, 59452.71020000002
125, 63998.84, 59535.59960000001
126, 63998.84, 59564.79910000001
127, 63998.84, 59574.585500000016
128, 63998.84, 59592.90980000002
129, 63998.84, 59616.27140000003
130, 63998.84, 59681.74450000002
131, 63998.84, 59737.00380000002
132, 63998.84, 59807.23390000001
133, 63998.84, 59886.7871
134, 63998.84, 59909.5496
135, 63998.84, 60006.0008
136, 63998.84, 60032.407
137, 63998.84, 60043.5299
138, 63998.84, 60043.5299
139, 63998.84, 60083.92420000001
140, 63998.84, 60085.05670000001
141, 63998.84, 60153.98910000001
142, 63998.84, 60215.1279
143, 63998.84, 60265.8633
144, 63998.84, 60280.245200000005
145, 63998.84, 60325.0664
146, 63998.84, 60365.14360000001
147, 63998.84, 60394.2669
148, 63998.84, 60481.756300000015
149, 63998.84, 60497.949300000015
150, 63998.84, 60540.16210000001
151, 63998.84, 60570.562200000015
152, 63998.84, 60575.341900000014
153, 63998.84, 60623.49700000002
154, 63998.84, 60690.168500000014
155, 63998.84, 60713.13550000002
156, 63998.84, 60726.417100000006
157, 63998.84, 60740.19360000001
158, 63998.84, 60740.22300000002
159, 63998.84, 60803.73360000002
160, 63998.84, 60862.35720000001
161, 63998.84, 60913.79160000002
162, 63998.84, 60971.39670000002
