generation, best_individual, average_fitness
1, 139101.12, 119006.43460000001
2, 139101.12, 120441.23240000002
3, 139101.12, 121458.28250000002
4, 139101.12, 121983.76590000004
1, 144923.54, 119901.28239999998
2, 144923.54, 120793.98469999999
3, 144923.54, 121715.82629999999
1, 140413.13, 119723.80499999998
2, 140413.13, 120978.33160000002
3, 140413.13, 121843.62470000003
4, 140413.13, 122950.69769999999
1, 145005.58, 119952.638
2, 145005.58, 121757.66250000002
3, 145005.58, 122161.20599999999
4, 145005.58, 122688.38130000001
1, 140695.29, 120845.63859999998
2, 140695.29, 121913.39759999998
3, 140695.29, 122956.50799999996
1, 139214.61, 122222.24519999996
2, 139214.61, 123454.76959999999
3, 139214.61, 123994.68699999998
