generation, best_individual, average_fitness
1, 154815.77, 128220.773
2, 154815.77, 129322.70090000001
3, 154815.77, 130167.9335
1, 143974.95, 125759.79910000003
2, 143974.95, 126977.66700000002
3, 143974.95, 127671.22010000004
1, 149021.39, 128711.88670000003
2, 149021.39, 129940.47330000004
3, 149021.39, 130557.62770000003
1, 144063.24, 125016.99470000002
2, 144063.24, 126091.85690000003
3, 144063.24, 126535.12570000002
1, 154366.14, 127519.71769999998
2, 154366.14, 128694.23890000003
3, 154366.14, 129312.1217
1, 148312.79, 125528.04539999996
2, 148312.79, 126816.06189999994
3, 148312.79, 127617.19169999994
4, 148312.79, 128314.98409999994
1, 149739.73, 125471.09609999995
2, 149739.73, 126007.39149999997
3, 149739.73, 126862.5168
1, 153048.67, 125523.90940000003
2, 153048.67, 126999.76660000003
3, 153048.67, 128284.73190000003
4, 153048.67, 128829.33360000006
5, 153048.67, 129341.91990000005
1, 150237.38, 128395.64680000005
2, 150237.38, 129632.27730000005
3, 150237.38, 130546.15490000004
1, 154506.87, 128311.00000000001
2, 154506.87, 129232.23110000003
3, 154506.87, 130437.65820000003
