generation, best_individual, average_fitness
1, 96573.26, 55785.20250000001
2, 96573.26, 56710.51710000002
3, 101612.48, 58391.54360000002
4, 101612.48, 59017.464500000024
5, 101612.48, 60280.64860000002
6, 101612.48, 61031.902300000016
7, 101612.48, 61633.74200000001
8, 137787.56, 63764.87700000001
9, 137787.56, 65226.95230000001
10, 137787.56, 66699.9233
11, 137787.56, 67455.33110000001
12, 137787.56, 68325.0195
13, 137787.56, 68903.96370000001
1, 91804.99, 60708.655600000006
2, 91804.99, 61254.72140000002
3, 99651.76, 62290.9103
4, 99651.76, 64044.08260000001
5, 99651.76, 65756.50330000001
6, 99651.76, 67175.21870000001
7, 99651.76, 68176.57800000002
8, 99651.76, 69412.31420000002
9, 99651.76, 70452.02310000002
10, 111121.49, 71901.78490000003
11, 111121.49, 73465.55850000003
12, 111121.49, 73872.64710000002
1, 96802.24, 58752.73640000002
2, 96802.24, 59746.684200000025
3, 96802.24, 60256.082500000026
4, 96802.24, 60916.07210000003
5, 96802.24, 61519.55010000004
1, 96956.54, 59861.6682
2, 96956.54, 60365.7099
3, 96956.54, 62226.724899999994
4, 96956.54, 63283.26919999998
5, 96956.54, 63885.59379999998
1, 86297.6, 57765.66719999999
2, 89278.73, 58823.30319999999
3, 89278.73, 59684.80919999999
4, 89278.73, 61203.474999999984
5, 89278.73, 61334.92469999998
6, 89278.73, 61937.221799999985
1, 95943.93, 60733.51330000002
2, 95943.93, 61447.98970000001
3, 95943.93, 62961.90450000002
4, 95943.93, 64569.06160000002
5, 95943.93, 65725.98100000001
6, 95943.93, 67305.63170000004
7, 95943.93, 68406.85800000005
8, 113804.65, 70393.12440000004
9, 113804.65, 71210.57830000002
10, 113804.65, 72560.66460000002
11, 113804.65, 72810.2038
12, 113804.65, 72985.6487
1, 93476.06, 58729.24230000002
2, 93476.06, 60336.62110000003
3, 93476.06, 61220.87390000003
4, 93476.06, 62643.78520000002
5, 93476.06, 63462.303200000024
6, 98114.21, 64936.35470000002
7, 140120.34, 67561.17790000002
8, 140120.34, 68126.58890000002
9, 140120.34, 68534.52210000003
1, 102945.16, 60681.004600000015
2, 102945.16, 62339.87770000001
3, 102945.16, 63254.35230000001
4, 102945.16, 64065.33910000002
5, 102945.16, 65235.665900000015
6, 102945.16, 66059.59350000002
7, 102945.16, 68021.82800000002
8, 102945.16, 68817.03170000002
9, 102945.16, 69988.31800000003
10, 102945.16, 70558.09950000003
11, 102945.16, 70893.42590000002
1, 93645.59, 58308.636300000006
2, 93645.59, 59219.3145
3, 93645.59, 59922.53040000001
4, 93645.59, 61512.0449
5, 93645.59, 62908.632200000015
6, 93645.59, 63395.93810000001
7, 93645.59, 64405.78599999999
8, 124582.72, 65749.1059
9, 124582.72, 66358.80399999999
