generation, best_individual, average_fitness
1, 51941.04, 20386.1441
2, 52638.76, 32054.2223
3, 57340.76, 39749.67759999998
4, 57340.76, 46562.072799999994
5, 57340.76, 48799.18449999998
6, 57340.76, 49999.0492
7, 58231.71, 51332.56609999998
8, 58614.47, 52357.154099999985
9, 58614.47, 53269.54309999998
10, 58614.47, 54185.55239999997
11, 60390.99, 54896.244899999976
12, 61060.22, 55631.15539999998
13, 61060.22, 56074.23749999998
14, 61060.22, 56583.393899999995
15, 61060.22, 57186.09849999997
16, 61337.38, 57608.12359999998
17, 61337.38, 57916.226999999984
18, 61337.38, 58445.575899999996
19, 61337.38, 58788.81179999999
20, 61337.38, 59236.26979999998
21, 61337.38, 59501.10019999998
22, 61337.38, 59765.53699999999
23, 61337.38, 59953.45419999999
24, 61337.38, 60038.19599999999
25, 61337.38, 60151.257899999975
26, 61442.88, 60295.88419999998
27, 61442.88, 60373.170099999996
28, 61804.61, 60478.07990000002
29, 62322.2, 60559.76270000002
30, 62322.2, 60627.444200000005
31, 62322.2, 60706.7239
32, 62322.2, 60744.0972
33, 62322.2, 60836.681100000016
34, 62322.2, 60940.575999999994
35, 62322.2, 61021.86459999999
36, 62322.2, 61100.76879999998
37, 62322.2, 61194.90429999999
38, 62322.2, 61257.89969999999
39, 62571.77, 61351.0875
40, 62571.77, 61385.548200000005
41, 62571.77, 61502.00149999999
42, 62571.77, 61549.656800000004
43, 62571.77, 61617.62409999999
44, 63089.85, 61695.660699999986
45, 63089.85, 61760.39389999998
46, 63089.85, 61828.55519999997
47, 63089.85, 61889.454899999975
48, 63089.85, 61938.75229999998
49, 63089.85, 61975.891299999974
50, 63089.85, 62008.37919999999
51, 63089.85, 62062.47709999996
52, 63089.85, 62106.86799999996
53, 63089.85, 62137.46179999996
54, 63089.85, 62176.79809999997
55, 63163.1, 62210.58479999998
56, 63163.1, 62242.48049999997
57, 63163.1, 62259.13309999998
58, 63198.62, 62289.73629999998
59, 63198.62, 62324.13769999998
60, 63198.62, 62340.40749999997
61, 63631.31, 62391.93209999999
62, 63631.31, 62409.02549999998
63, 63631.31, 62453.10849999999
64, 63631.31, 62474.23749999999
65, 63631.31, 62484.900899999986
66, 63631.31, 62519.89599999999
67, 63631.31, 62538.539300000004
68, 63631.31, 62547.54
69, 63631.31, 62562.760299999994
70, 63631.31, 62588.5893
71, 63631.31, 62591.72829999999
72, 63631.31, 62622.468499999995
73, 63631.31, 62630.63129999999
74, 63631.31, 62635.88989999998
75, 63631.31, 62648.39839999997
76, 63631.31, 62654.12359999998
77, 63631.31, 62656.09539999997
78, 63631.31, 62667.56709999997
79, 63631.31, 62698.41279999996
80, 63631.31, 62705.85149999997
81, 63631.31, 62714.26279999997
82, 63631.31, 62720.35289999997
83, 63631.31, 62735.13849999996
84, 63631.31, 62751.63679999995
85, 63631.31, 62761.47709999995
86, 63631.31, 62787.12939999995
87, 63631.31, 62813.06689999995
