generation, best_individual, average_fitness
1, 51949.1, 34421.0815
2, 56606.35, 42241.79859999999
3, 56606.35, 46394.15029999997
4, 56606.35, 48707.20020000001
5, 57708.21, 50472.535599999974
6, 57708.21, 51544.9039
7, 57946.02, 52724.59959999999
8, 57948.82, 53719.881499999974
9, 59365.37, 54484.50789999998
10, 59365.37, 55125.063199999975
11, 59365.37, 55656.45879999997
12, 59365.37, 56228.48559999998
13, 59365.37, 56738.508799999996
14, 59365.37, 57261.357299999996
15, 60407.48, 57687.6562
16, 60407.48, 57981.57879999999
17, 60407.48, 58349.46639999999
18, 60580.01, 58555.26579999997
19, 60580.01, 58920.60819999999
20, 60580.01, 59123.724
21, 60580.01, 59265.625599999985
22, 60580.01, 59425.758800000025
23, 60580.01, 59568.414800000006
24, 60580.01, 59664.332600000016
25, 60580.01, 59722.77930000001
26, 60580.01, 59792.40210000002
27, 60580.01, 59869.5505
28, 60580.01, 59932.294399999984
29, 60580.01, 59998.31959999999
30, 60580.01, 60038.18409999998
31, 60768.16, 60078.08589999997
32, 60768.16, 60104.19449999998
33, 60850.59, 60131.90109999999
34, 60850.59, 60147.59719999998
35, 60962.38, 60202.737099999984
36, 60962.38, 60245.88349999999
37, 60962.38, 60286.484099999994
38, 61254.47, 60315.47969999999
39, 61254.47, 60325.4356
40, 61254.47, 60333.474899999994
41, 61254.47, 60338.60899999998
42, 61254.47, 60364.80639999999
43, 61254.47, 60384.0515
44, 61254.47, 60408.98409999998
45, 61254.47, 60423.92459999999
46, 61254.47, 60437.323799999984
47, 61254.47, 60448.57389999999
48, 61254.47, 60463.37719999999
49, 61254.47, 60467.07389999999
50, 61254.47, 60471.528699999995
51, 61254.47, 60482.907299999984
52, 61254.47, 60494.718
53, 61254.47, 60502.0625
54, 61254.47, 60510.724500000004
55, 61254.47, 60540.253099999994
56, 61254.47, 60548.2334
57, 61254.47, 60553.98040000001
58, 61254.47, 60561.14790000001
59, 61254.47, 60581.17220000001
60, 61254.47, 60585.71240000001
61, 61254.47, 60589.58650000001
1, 53658.88, 37444.82354999998
2, 56334.11, 46750.189699999995
3, 57692.07, 49231.84900000002
4, 58403.56, 51069.0808
5, 58403.56, 52585.776999999995
6, 58403.56, 53595.265
7, 58689.63, 54635.04870000003
8, 58689.63, 55424.76320000003
9, 59860.24, 56359.4679
10, 59860.24, 56993.32669999998
11, 59860.24, 57456.773800000024
12, 60005.12, 57844.10820000003
13, 60005.12, 58181.75989999999
14, 60005.12, 58461.93040000001
15, 60276.23, 58871.152699999984
16, 60673.16, 59066.651500000014
17, 60673.16, 59281.99990000003
18, 60673.16, 59418.66440000004
19, 60921.82, 59571.77640000003
20, 60921.82, 59662.84140000004
21, 60921.82, 59767.87870000003
22, 60921.82, 59833.62780000001
23, 60981.81, 59899.98429999999
24, 60981.81, 59992.512800000004
25, 60981.81, 60052.91870000001
26, 60981.81, 60112.3435
27, 60981.81, 60146.21740000001
28, 60981.81, 60226.785699999986
29, 60981.81, 60273.44319999997
30, 60981.81, 60314.11289999998
31, 60981.81, 60355.458699999974
32, 61237.25, 60394.50439999998
33, 61237.25, 60451.06939999999
34, 61237.25, 60479.5895
35, 61237.25, 60499.863999999994
36, 61237.25, 60529.746999999996
37, 61272.46, 60566.35039999999
38, 61272.46, 60592.6521
39, 61272.46, 60641.82329999999
40, 61272.46, 60654.690299999995
41, 61272.46, 60665.60719999999
42, 61272.46, 60676.280300000006
43, 61296.63, 60713.33759999999
44, 61296.63, 60739.393899999995
45, 61617.91, 60773.400499999996
46, 61617.91, 60777.933600000004
47, 61617.91, 60795.6011
48, 61617.91, 60810.97
